name,lat,lng,rating,user_ratings_total,price_level
Jom Jom Restora and party center,23.7074041,90.4994672,4.2,115,
Food Fair,23.7089343,90.4964317,0.0,0,
KHAJA WATER LTD,23.705367,90.473093,5.0,29,
FOOD CLUB,23.7119329,90.49035239999999,5.0,1,
Noor Biriyani House,23.720294,90.4902015,3.0,1,
Boithokkhana,23.7111343,90.487336,3.5,44,
Journey By Boat Cafe,23.7118629,90.4879088,4.1,71,
Somunita Restaurant,23.7093374,90.4765772,4.0,11,
Elma Restaurant,23.7107731,90.47011909999999,3.5,2,
Mama Chotpoti & Fusca,23.7113482,90.488044,3.8,197,
Zahir's Kitchen,23.7111774,90.48975039999999,4.5,2,
আমিন ফুড এন্ড জুস কর্নার,23.7105872,90.48659529999999,5.0,1,
ঢাকা বিরিয়ানি ২,23.7091831,90.4970552,0.0,0,
আল্লাহর দান বিরিয়ানির হাউজ,23.7109586,90.4877731,3.7,3,
Royal View Chinese restaurant & party center,23.7190045,90.4908665,3.8,25,
Tension Hotel,23.7274877,90.4978873,4.5,43,
Green Olive Restaurant and Party Center,23.7209017,90.49035169999999,3.9,65,
রাজ মহল বিরিয়ানী ফাস্টফুড সুইটস,23.7162265,90.4688568,5.0,1,
মুক্তার বাবুর্চি স্পেশাল ভুনা খিচুড়ি অ্যান্ড মুরগ পোলাও,23.7114592,90.4917088,4.0,4,
Nababi Shad,23.7170372,90.4915688,4.2,5,
Nirzhor Cafe and Convention Hall,23.7167824,90.4915936,4.1,62,
Food Corner,23.7107437,90.4872034,0.0,0,
Alam's Restaurant,23.7205144,90.4900114,3.9,1208,$$
Hungry Man,23.7110391,90.4698255,4.1,37,
Food Lover Demra Dhaka,23.7094226,90.4970565,5.0,1,
Home house,23.7171638,90.48740529999999,0.0,0,
Cheap&Best Fast Food and Biriani House,23.714212,90.49204689999999,5.0,1,
Kamal Hotel,23.7066425,90.48141799999999,4.0,1,
Ma Khabar Ghar,23.7097271,90.4783387,3.5,2,
Blues,23.7119468,90.4696582,4.4,33,
Sultan Food Land,23.7165488,90.49170090000001,4.2,261,$$
T F C,23.7206742,90.4903803,4.4,17,
Altaf Hotel and Restaurant,23.7169438,90.4900576,0.0,0,
Holdi Chinese Restaurant,23.7201229,90.4900163,3.8,11,
Haji Abul Kalam Restaurant and Sweetmeat,23.7200659,90.4905915,3.8,19,
Raj Biriyani House,23.7199267,90.49059460000001,4.5,2,
Bismillah Hotel Sweets & Restaurant,23.7093776,90.4764112,3.8,57,
Haldi Chinese Restaurant & Party Center,23.7199353,90.489978,3.9,169,
Kazi Farms Kitchen,23.705731,90.4716919,4.4,17,
SN FOOD CLUB,23.7187395,90.4911595,4.0,1,
আল্লাহ দান বিরিয়ানী হাউজ,23.7203882,90.49072360000001,5,1,
Green Palace Restaurant,23.72623,90.4609078,3.3,4,
Allahr Dan Sweetmeat & Restaurant,23.7108969,90.48729519999999,0,0,
Dream's kitchen,23.721407,90.4958821,0,0,
শাহ পরান ফাস্ট ফুড,23.7073316,90.4975195,0,0,
আল্লাহ্ ভরশা খানা যর,23.7073132,90.4981308,4,2,
ভাই - ভাই হোটেল,23.7148924,90.4847288,0,0,
BLUE SKY Coffee & Burger,23.7015492,90.4794309,4.1,162,$
Burger Bhai,23.7273525,90.4984162,4,8,
Diners Club,23.7150031,90.4689896,3.8,316,$$
গ্র্যান্ড নূর কাচ্চি,23.7203029,90.4901757,4,1,
Haji Sweets and Hotel,23.7150188,90.4960144,3.8,161,$
এবা,23.71934,90.5089512,0,0,
সুলতান রুফটপ,23.716537,90.49172019999999,4.6,5,
Food Land Cafe Demra,23.7052504,90.4718279,4.2,37,
Rajmahal Restaurant,23.7131304,90.4524347,4,504,$$
cafe 90's,23.7134957,90.4702863,0,0,
AMICI Burger & Cafe,23.7107992,90.4867893,4.1,23,
Adda Restaurant and Party Center,23.7329995,90.48449389999999,4,179,
Gazi Hotel & Restaurant,23.7150232,90.4751339,3.7,94,$
Samiya Chatpati And Fuska House,23.7032011,90.4972665,5.0,3,
Dubai Cafe & Restaurant,23.7071904,90.4979271,4.1,147,
Sojib,23.7077552,90.49788869999999,0.0,0,
হাসান হোটেল,23.7160851,90.5000166,4.7,3,
Utsob Cafe,23.7109344,90.4876755,4.0,2,
Eitys Kitchen,23.7167369,90.50040469999999,0.0,0,
Tamim Biriyani House,23.7092045,90.4760763,2.5,2,
মায়ের দোয়া বিরিয়ানী ও কাবাব ঘর অ্যান্ড ক্যাটারিং সার্ভিস,23.7111558,90.4882885,5,2,
Food Club,23.7171727,90.484432,2.5,2,
Redsun Chinese Restaurant & Party Center,23.7153744,90.49579260000002,3.7,23,
Shiraj Sweets & Khonika Hotel,23.7096392,90.4766456,0,0,
YM Food Factory,23.7120929,90.4982912,5,1,
New Akhi Hotel,23.7179872,90.48452089999999,3.5,29,
Kabir hotel,23.7169622,90.4900359,0,0,
Madina Biriyani & Kabab Ghor,23.7106569,90.48738589999999,1,1,
Cafe Delight,23.7186419,90.49100650000001,5,3,
শৰ্মা বাড়ী,23.7020588,90.4735153,4.4,10,
বাতেনের হোটেল,23.7186045,90.4882501,3.7,47,
Bhai Bon Hotel,23.7110335,90.4887641,3.5,4,
The One Restaurant,23.6937639,90.4757075,3.8,2368,$$
Ratatouille - Street Fire,23.7052986,90.47178,4.6,11,
ক্যাফে বিসমিল্লাহ রেস্তোরাঁ,23.7162099,90.4688692,4.0,1,
Aroma villa,23.6973492,90.4694682,4.5,21,
জান্নাত হোটেল এন্ড রেস্টুরেন্ট,23.7082419,90.47366099999999,4.0,2,
Zarbera Restaurant -2,23.7154026,90.46902209999999,4.0,1,
জারবেরা ক্যাফে এন্ড রেস্টুরেন্ট,23.7110016,90.4701996,3.8,4,
Kingchung Hotel & Restaurant,23.7087453,90.4675841,3.7,20,
Food Place Restaurant & Party Centre,23.715276,90.46902589999999,3.8,523,
Gramean sweetmeat bekary and foods lmt.,23.7139639,90.4701384,0.0,0,
Salam Hotel,23.704896,90.4719286,4.0,1,
Jackpot Bangladesh,23.7209665,90.490318,4.2,136,
CIP Hotel & Restaurant | সি আই পি হোটেল এন্ড রেস্টুরেন্ট,23.7178294,90.48443379999999,0.0,0,
Green Food Thai Chinese & Fast Food Restaurant,23.7142212,90.469566,0.0,0,
Siraj Mamar Hotel,23.7115115,90.4760615,3.5,4,
Fatema Hotel,23.7033428,90.4548365,4.0,115,
China Moon Party Center,23.712325,90.4522383,3.9,62,
The Rooftop,23.7298276,90.411127,4.5,131,
Akash Restaurant,23.7298972,90.4103669,4.5,30,
Bird's Eye Roof Top Restaurant and Convention Hall,23.7304911,90.412155,4.1,1837,$$$
President Restora,23.7269884,90.4130417,4.1,93,
Grand Kacchi Ghor,23.7277656,90.40992299999999,0.0,0,
Khana Basmati,23.7299979,90.4108866,4.0,693,$$
Khabar Dabar Pitha Ghor And Restaurant,23.7270756,90.4119135,4.0,130,
Shabuj Chaya Restaurant,23.7302489,90.4088551,4.0,18,
Pakghor Catering And Cafe,23.7314144,90.4105543,4.2,12,
KFC,23.7300014,90.4111633,4.1,2398,$$
Jafran restaurant,23.7317795,90.41033379999999,4.2,12,
Manipura Restaurant,23.7304022,90.4135674,4.3,6,
Handi,23.7319788,90.4098794,4.1,699,$$
Radhuni Restaurant,23.7315374,90.4115755,4.0,349,$$
Super Supper,23.7354602,90.4105606,4.0,67,
Parjaton Hotel & Cafe,23.7290663,90.4100892,5.0,1,
Cafe Alaska - ক্যাফে আলাস্কা,23.7321817,90.4112193,4.4,64,
Weston Restaurant,23.7331476,90.4120098,4.2,607,$$
Cafe Paltan Restaurant,23.7306507,90.40990250000002,3.6,5,
Rahmania Rooftop Restaurant and Terrace 21,23.7311713,90.41573439999999,4.0,580,
Surma Restaurant,23.7309592,90.4098918,3.8,4,
Polton Retora,23.7307718,90.4099265,4.0,2,
Hotel Kasturi (Pvt.) Ltd.,23.7315188,90.410254,4.2,741,$$$
Al Faham Restaurant,23.7319898,90.41121629999999,4.5,17,
The Rajdhani Hotel & Restaurant,23.7247842,90.4110937,3.9,912,$$
Sohag Restaurant,23.730372,90.4131,3.7,3,
"Grand Nawab, Motijheel.",23.7291344,90.41582969999999,4.2,11,
Royal Hall,23.7315558,90.4079898,4.1,66,
"Khagrachari, Pankhaia Para, System Restaurant",23.7262923,90.417327,4.6,13,
Trust Cafe,23.7302935,90.41095709999999,5.0,2,
Polton Restaurant,23.7328228,90.41248619999999,4.3,13,
Bhoj Restaurant,23.733723,90.40676769999999,4.2,1958,$$
Pushpadum Restaurant & Party Center,23.7299915,90.41441239999999,3.9,457,
Koi-Pabda & Lobster Restaura,23.7291774,90.4156932,3.9,315,
Vharta Mela Restaurant,23.7321706,90.4102851,4.2,5,
Mukti Thai Chinese & Bangla Restaurant,23.7312548,90.4153312,4.0,45,
New Purnima Snacks Bar,23.726423,90.4116872,4.1,69,$
Zafran Restaurant,23.7317196,90.41071989999999,3.6,7,
Peking Garden,23.7307267,90.4099236,4.1,234,
Samia Restora,23.7308554,90.4123537,0.0,0,
FEAST Restaurant,23.7317768,90.40994549999999,3.9,8,
Zafran Restaurant,23.7325511,90.4154439,4.0,169,
Enjoy Restaurant,23.7337055,90.4081095,3.9,469,$$
Lal Killa Restaurent & Kabab House,23.7299888,90.4104944,0.0,0,
Eva Burger House,23.732791,90.4120652,4.0,25,
Cafe Baghdad Restaurant,23.7312682,90.4082214,3.3,9,
Mohavoj Restaurant,23.7262687,90.4117046,3.7,3,
Khandaker Hotel And Sky View Restaurant,23.7221992,90.41245270000002,4.0,261,$$
Kacchi Valley and Party Center,23.7274602,90.4159744,4.0,3,
Cafe Dhaka Hotel & Restaurant,23.7327788,90.4121301,4.0,1,
Cafe Bismillah Restaurant,23.730265,90.4119922,0.0,0,
Dacca Cuisine,23.7351523,90.4166724,4.0,1070,$$
"Korai Gost, Dhaka.",23.7360295,90.413961,3.6,582,$$
Chung Wah Restaurant,23.733277,90.40998789999999,3.9,479,$$
DHAKA SPICY KITCHEN,23.7328489,90.4121858,4.3,3,
Jhaalmukh Restaurant Ltd.,23.7266261,90.417875,3.9,288,$$$
Pitstop Dhaka,23.7248262,90.4213183,4.1,208,
Cafe Bangla- ক্যাফে বাংলা,23.7326071,90.4116571,4.8,5,
Adi Nanna Biriyani,23.7306078,90.4117835,4.0,337,$$
Kinnori Restaurant,23.7360935,90.4096672,4.2,189,$$
Izumi Japanese Kitchen,23.7885551,90.4206052,4.5,1425,$$$$
Seasonal Tastes,23.7933656,90.4146485,4.5,292,$$$$
Istanbul Restaurant Dhaka,23.7957609,90.4133504,4.0,1529,$$
O' Play Restaurant,23.7861658,90.4155327,4.2,1116,$$$
Sajna Restaurant,23.7902795,90.4069719,4.1,1825,$$
Cozy Sizzler Restaurant,23.7895325,90.420328,4.2,283,
Shaw's Steakhouse,23.7918352,90.4148723,4.0,961,$$$$
Grandiose Restaurant,23.8295017,90.41934669999999,4.4,293,$$
এবাকাস দি ক্যাফে এন্ড রেষ্টুরেন্ট,23.7782897,90.41694199999999,3.9,2152,$$
Bella Italia,23.7861087,90.41676509999999,4.3,1529,$$
"Spaghetti Jazz, Dhaka",23.7952438,90.41433789999999,4.2,781,$$$
Star Kebab & Restaurant,23.7932198,90.4028846,4.2,16988,$$
Bahar,23.784365,90.417389,4.2,6,
Thai Chi Restaurant & Cafe,23.7647457,90.3896255,4.1,3885,$$
Tony Roma's,23.7475908,90.3706464,4.4,994,
Bunka,23.7947032,90.4193777,4.1,332,$$$
Lucknow Dhaka,23.7932535,90.40918339999999,4.2,1431,$$$
Alfresco,23.7910554,90.40412169999999,4.2,2677,$$
Saltz Fine Seafood,23.7940444,90.41956859999999,4.1,417,$$$
"Koreana Restaurant, Dhaka.",23.7849122,90.41953900000001,4.3,2007,$$
Prego,23.793223,90.41460099999999,4.0,6,
Raffinato Ristorante Italiano,23.7929477,90.4140046,4.2,287,
Favola,23.836343,90.417715,3.6,7,
Woodhouse Grill,23.7908477,90.40314269999999,4.5,4130,$$$
Oro Dhaka,23.7861416,90.41671439999999,4.3,277,
Flambe′ Restaurant,23.7952258,90.4104959,4.2,885,$$
Soi 71,23.7938898,90.4122009,4.2,979,$$
Crème de la Crème Coffee,23.7941125,90.4142397,4.3,1055,$$$
Paturi,23.789739,90.407389,4.2,680,$$
Memories of Dhaka Restaurant,23.7434921,90.4127133,2.0,2,
Cafe Eden,23.7998642,90.4113543,4.3,1325,$$$
Latest Recipe,23.836343,90.417715,4.6,39,
Hotel Al Razzak Restaurant,23.7183333,90.4086111,3.9,7510,$$
A La Greek - Mediterranean Cuisine,23.7389633,90.3787899,4.3,186,
The Beast,23.794413,90.41373500000002,4.5,4,
Tarka,23.7903658,90.4066313,4.0,1784,$$
Kolkata Kacchi Ghor,23.7181791,90.4004887,4.2,4307,$$
The Pit Grill,23.7931676,90.40873719999999,4.2,956,$$$
Purnima Restaurant,23.7808142,90.4168854,3.7,1170,$$
Goong The Castle,23.7972916,90.41044500000001,4.4,537,$$$
EL PATRON BD,23.7910976,90.4094109,4.3,221,
Bukhara Restaurant,23.7935901,90.4056861,4.2,712,
Farzi Café Dhaka,23.781192,90.4168682,4.2,310,$$$$
Dhaka Restora,23.724163,90.3987496,2.3,3,
Star Hotel and Kabab,23.7374668,90.38686369999999,4.1,8850,$
The Atrium Restaurant,23.802477,90.4229629,4.0,1857,$$$
Tingama,23.7908684,90.40483510000001,4.1,61,
Spicy Ramna Restaurant,23.7462448,90.3716439,4.2,2202,$$
Cilantro,23.7465029,90.37067069999999,4.1,1516,$$
Sultan's Dine Gulshan Branch,23.7948549,90.41318319999999,4.3,7200,$$
Krua Thai,23.7716194,90.413371,3.9,1777,$$$
Royal Restaurant,23.7195757,90.3905434,4.0,4077,$$
Food Land Cafe,23.7202302,90.4179879,4.0,1066,$$
Latitude 23,23.836343,90.417715,3.0,1,
Sura Korean Restaurant,23.7919908,90.41252580000001,4.3,431,$$$
Grill On The Skyline,23.8298059,90.4193574,4.3,70,
Lake Terrace,23.8697143,90.39338719999999,4.0,2867,$$$
Thirty3 Restaurant,23.7419636,90.40993069999999,3.9,1203,$$$
Kudos Wari,23.7197935,90.4165447,4.1,324,
Let's Order,23.7199411,90.4165132,4.0,25,
Tandoori Night,23.7155035,90.41720300000001,4.0,301,$$
Tune & Bite Music Cafe,23.7187461,90.4165573,4.2,874,
The Dining Lounge wari,23.7184424,90.4164642,3.7,1390,
Western Garden,23.7200453,90.4179269,3.8,312,$$
Street Oven Wari,23.7152206,90.4175037,4.0,271,
Burgerology,23.7195465,90.4163911,4.2,673,$$
Shawarma House,23.7200398,90.41699200000001,3.7,180,
Biker Cafe & Restaurant,23.7206527,90.4164414,3.9,38,
Masterchef Cuisine,23.7132762,90.41866019999999,4.2,82,
নওয়াব চাঁটগা,23.7806519,90.4157662,4.1,1891,$$
Bistro-E,23.7960059,90.41745999999999,4.5,1285,$$$
S A V V A,23.793599,90.41094059999999,4.4,143,
The Artichoke,23.7729732,90.4253693,4.5,226,
Chef's Table Gulshan,23.7957467,90.41496289999999,4.6,36,
Sichuan Garden Cafe,23.7155738,90.4163059,4,857,$$
UniCafe Restaurant & Fun,23.7185105,90.416259,4.1,664,$$
The Grove Bistro,23.7951945,90.4148383,4.5,839,$$$
Pinewood Cafe + Kitchen (Banani),23.7918858,90.4068297,4.4,1243,$$
Jatra Biroti Restaurant,23.7932385,90.4091582,4.2,2268,$$$
Khushboo Restaurant,23.7818601,90.4174499,4.1,1002,$$
The Great Kabab Factory,23.7948276,90.4132151,4.4,1365,$$$
A&W Restaurants Bangladesh,23.7819055,90.4160515,4,1355,$$$
Chittagong Bull,23.7889145,90.4167938,4.2,2233,$$
Premium Sweets,23.7952144,90.4146463,4.3,2492,$$$
The Rio Lounge,23.7923819,90.41583179999999,4.1,858,
Hongbao,23.7834771,90.4164466,4.5,181,
SAO 26,23.8689746,90.39219659999999,4.4,713,$$
Zaytun Restaurant,23.778819,90.38020809999999,3.9,974,$$
Man Mo,23.7884594,90.41734699999999,4.2,379,$$
Hello Dhaka,23.7818506,90.41706529999999,0.0,0,
"Cheong Shing Restaurant, Dhaka.",23.7925932,90.4095597,4.2,401,$$$
Palm View Hotel and Restaurant,23.8189386,90.4141559,4.3,1818,
HEXA Dine - Restaurant & Café,23.7919289,90.4062166,4.3,333,
Bistro Central,23.781592,90.400702,4.1,210,$$
Tropical Bistro Restaurant & Lounge,23.7894399,90.41334680000001,4.4,17,
The New Gulshan Plaza Restaurant,23.7935351,90.4143754,4.2,2802,
Dhaka Food,23.7740277,90.39676039999999,4.4,35,
Ginza,23.7901575,90.4080867,4.3,1761,$$
Koyla Restaurant,23.7710495,90.4112127,4.1,2004,$$
Hello Dhaka,23.7818298,90.41772759999999,4.1,57,
Garden Gourmet - Season 2 by S&S Cuisineurs,23.8040547,90.4597431,4.2,168,
Terra Bistro,23.7910772,90.40316039999999,4.3,75,
onFire,23.7643967,90.3589775,4.0,1645,$$
Turkish Bazaar & Restaurant,23.7918905,90.4067266,4.2,809,$$
বিন্নি রেস্টুরেন্ট,23.7813306,90.4173004,4.0,1013,$$
Bon Appetit Delight,23.7630615,90.3619339,4.1,153,$$
Barcode Cafe,23.7945957,90.4059036,4.3,3787,$$
স্বাদ রেস্টুরেন্ট,23.781237,90.4054056,4.0,10,$
Samdado Japanese Cuisine,23.7922583,90.413099,4.3,433,
Cafe Mango,23.7818386,90.4177632,4.1,1272,$$
Olea,23.836137,90.418144,4.2,67,
Food Park,23.7340156,90.3842294,3.4,34,
Midnight Sun - 2,23.7331267,90.38510959999999,3.8,949,$$$
Santoor Restaurant,23.7517218,90.377679,4.1,1642,$$
"Bellavista, Dhaka.",23.736284,90.4153441,4.1,223,
Bar B Q Tonite,23.753617,90.370728,4.3,2784,$$
New Jannat Hotel,23.7597158,90.36623139999999,3.9,599,$$
Hello Sir,23.8050865,90.36309440000001,3.8,12,
New Chingri Chinese,23.7385017,90.3907167,3.8,395,$$
Henry's,23.7751963,90.3648582,4.1,45,
The Manhattan FISH MARKET Bangladesh,23.7936036,90.4051009,4.3,3745,$$$
The Dark Music Cafe And Restaurant,23.7460195,90.3711762,3.7,1743,$$
Taj Kitchen - তাজ কিচেন,23.7631099,90.36077639999999,4.0,544,$$
"Elements Restaurant, InterContinental Dhaka",23.7405591,90.39655929999999,4.6,462,
Mazaa,23.7651102,90.3606777,4.2,2493,$$
TAKUMI Japanese Restaurant,23.7897971,90.4194296,5,15,
"Tribeni Restaurant, Dhaka.",23.8068259,90.3916119,4.2,1760,$$
Bar.B.Q Tonight,23.7802628,90.41809529999999,4.3,797,$$$
Farmhouse Burger,23.777321,90.4164136,4.4,1500,$$$$
Tree House,23.7913392,90.4077514,4.2,2281,$$
Obor Restaurant,23.8092066,90.41343599999999,4.3,23,
Eurosia Restaurant | Best Restaurant in Dhaka,23.8199912,90.3867745,4.0,341,$$
IV & E E canteen dhaka Cantonment,23.8158109,90.4010923,3.8,16,
Ajmeri Restaurant,23.7679837,90.3684359,3.7,49,$
Mirchi Restaurant and Catering Service,23.7649837,90.36055929999999,4.3,127,
Sardar's Kitchen,23.7644262,90.3592785,4.2,110,
Spicy6,23.7681832,90.35864149999999,3.9,988,
Meherjaan Dining,23.7744275,90.36540029999999,3.9,272,$$
Red'Res Fast Food,23.7687291,90.3587177,3.8,1963,$$
Chickens,23.7653837,90.35533860000001,4.7,38,
"Dhaka Fried Chicken, Pizza & Grill",23.7618164,90.3571539,4.0,132,
Nawabi Voj,23.7625121,90.3586797,4.0,1977,$$
Home Food,23.7634728,90.3565926,4.0,75,
Khana's Mohammadpur - খানাস মোহাম্মদপুর,23.7622672,90.36123169999999,4.3,1483,
Dhaka Biriyani House,23.7740213,90.3561002,4.2,16,
Burger Villa & Kebab House,23.7630041,90.35908309999999,5.0,1,
Garden Ship ⚓️,23.7640894,90.3649647,3.8,140,
Kudos Mohammadpur - কুদোস মোহাম্মদপুর,23.7623785,90.36122780000001,4.2,489,$$
Fuu Restaurant Branch 2,23.7623626,90.3614583,4.0,60,
Chilis,23.7675499,90.3583116,4.1,1704,$$$
Cafe al mamun,23.7623915,90.3611111,4.5,33,
Adda,23.7630795,90.3700718,4.4,45,
MezbaniFood,23.7667573,90.35656279999999,3.9,124,
The Mughal Empire Mohammadpur,23.763042,90.3610063,4.2,1084,$$
Dosa Hut Coffee & Juice Bar,23.7693548,90.35842579999999,3.9,637,$$
Arabian Nights Restaurant,23.7631709,90.36135480000002,4.0,1360,$$
voot er adda restaurant,23.7612742,90.3650069,5.0,1,
Fuu Restaurant - ফুঁ রেস্টুরেন্ট,23.7701009,90.3553431,4.2,422,
Lemongrass,23.761928,90.35695899999999,4.3,154,
Prominent Food Corner,23.7665019,90.3543577,4.0,79,$
Mumin Foods ( Mohammadpur ),23.76683,90.358434,4.4,14,
Selim Kabab Ghar,23.7631731,90.3627453,4.2,3046,$
New Nahar Hotel And Restaurant,23.766338,90.36004679999999,4.0,1023,$
Yellow Mustard,23.7609075,90.3593392,4.9,11,
Delhi Darbar,23.7679534,90.3582785,3.3,3,
KLUB MIX,23.7630983,90.362016,4.3,114,
The Pabulum Mohammadpur - দ্য প্যাবুলাম মোহাম্মদপুর,23.7631494,90.360964,4.3,1079,
Treat Cafe & Restaurent Mohammadpur,23.7588547,90.3623995,3.9,339,
Kashbon Restora,23.766808,90.36305399999999,3.8,250,$
Smile Food Corner,23.7686784,90.3566194,4.2,1693,$$
Astra Lounge,23.7668338,90.35844259999999,4.7,3,
Delicious Food Express,23.7629874,90.35907879999999,4.2,643,$
Dear Dhaka,23.7683049,90.3588125,4.1,435,$
UniCafe Restaurant & Fun,23.768047,90.35828029999999,4.3,278,$$
Grand Prince Thai & Chinese Restaurant,23.7739292,90.3620244,4.1,2312,$$
Street 30,23.7646085,90.359308,4.3,107,
Chillox Mohammadpur - চিলক্স মোহাম্মদপুর,23.7629889,90.3608285,4.2,453,$$
Tung Tang,23.7634137,90.36059589999999,4.1,482,$
Grand Prince Thai & Chinese Restaurant,23.7651362,90.35890870000001,4.0,18,
Golpo Ghor,23.7683773,90.35679309999999,5.0,4,
সজল টি ষ্টল,23.7627068,90.3603691,0.0,0,
Kamal Biryani House,23.768232,90.36502349999999,4.1,3352,$
Filmy Cafe,23.7689863,90.3566396,3.6,332,
Pizza Mafia Mohammadpur,23.7639553,90.36239139999999,4.6,41,$
MADCHEF & CHEEZ! Mohammadpur,23.7683209,90.35872789999999,4.4,8,
গাউসিয়া বিরানী & হালিম,23.764607,90.35315179999999,5.0,1,
Tip Top Hotel,23.7663278,90.3575274,4.3,4,
Qureshi Kabab n' Restaurant,23.7604318,90.3617864,4.1,568,$$
মেজবানী খানা,23.7689499,90.3587388,0.0,0,
